type,expected_values,format,description,flags,notes
75,38,tffffffffffffffffgneffffffffffffffffff,THE VERSION-3!,,THE VERSION-3; note the debug FF letters for the sonic rangers
75,37,tffffffffffffffffgneffffffffffffffffff,THE VERSION-3!,don’t use,THE VERSION-3; note the debug FF letters for the sonic rangers
79,37,tffffffffffffffffffffffffgnefffffffff,THE VERSION-3!,don’t use,THE VERSION-3; new version 2020-01-23; note the debug FF letters for the sonic rangers. Potentially for QAS_Lv3 only
80,39,tfffffffffffffffffffffffffgneffffffffff,THE VERSION-3!,,THE VERSION-3; new version 2020-01-23; note the debug FF letters for the sonic rangers
80,40,tfffffffffffffffffffffffffffffffffffffff,THE VERSION-3!,don’t use,THE VERSION-3; new version 2020-01-23; note the debug FF letters for the sonic rangers
81,24,tffffffffffffffffgneffff,THE VERSION-3!,don’t use,GC-NET stations
85,48,tffffffffffffffffffffffffffffffffffgneffffffffff,THE GC-NET VERSION!,don’t use,GC-NET stations
90,49, tfffffffffffffffffffffffffffffffffgneffffffffffff,THE GC-NET VERSION!,don’t use,GC-NET stations
90,47,tfffffffffffffffffffffffffffffffffgneffffffffff,THE GC-NET VERSION!,don’t use,GC-NET stations
90,48, tfffffffffffffffffffffffffffffffffgnefffffffffff,THE GC-NET VERSION!,don’t use,GC-NET stations
90,48,tfffffffffffffffffffffffffffffffffgnefffffffffff,THE GC-NET VERSION!,,GC-NET stations
95,46,tfffffffffffffffffffffffffffffffgnefffffffffff,THE GC-NET VERSION!,,GC-NET stations
115,47,tfffffffffffffffffffffffffffffffffgneffffffffff,PREMAS version,,PREMAS stations
220,29,tfffffffffffffffffffffffnefff,ZAMG Freya 2015 summer message,,ZAMG Freya aws
221,0,,,,ZAMG Freya aws
222,29,tfffffffffffffffffffffffnefff,ZAMG Freya 2015 winter message,,ZAMG Freya aws
223,0,,,,ZAMG Freya aws
224,6,tfffff,ZAMG Freya 2015 diagnostic message,,ZAMG Freya aws
